"_numero","_ano","_tipo","nomeProposicao","idProposicao","tipoProposicao","tema","Ementa","Autor","DataApresentacao","RegimeTramitacao","Apreciacao","Indexacao","Situacao","LinkInteiroTeor"
"171","1993","PEC","PEC 171/1993","14493","Proposta de Emenda à Constituição","Direito Penal e Processual Penal; Direitos Humanos, Minorias e Cidadania","Altera a redação do art. 228 da Constituição Federal (imputabilidade penal do maior de dezesseis anos).","BENEDITO DOMINGOS","19/08/1993","Especial","Proposição Sujeita à Apreciação do Plenário","Redução, limite de idade, inimputabilidade penal, menor, adolescente.","MESA - Aguardando Apreciação pelo Senado Federal","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=13945"
"2479","2000","PL","PL 2479/2000","18180","Projeto de Lei","Economia, Administração Financeira e Orçamentária (utilizado até a legislatura 53); Indústria, Comércio e Defesa do Consumidor (utilizado até a legislatura 53)","Altera o art. 12 do Decreto-Lei nº 73, de 21 de novembro de 1966, que ""Dispõe sobre o sistema nacional de seguros privados, regula as operações de seguros e resseguros e dá outras providências"".","Ricardo Barros","22/02/2000","Urgência art. 155 RICD","Proposição Sujeita à Apreciação do Plenário","Alteração, Lei do Seguro Privado, fixação, prazo máximo, empresa de seguros, pagamento, indenização, prêmio, segurado, ocorrência, discordância, cumprimento, cláusula, contrato, apólice de seguro, empresa, notificação, decisão, litígio, ação de consignação, discussão, Justiça, reclamação, sinistro.","MESA - Aguardando Apreciação pelo Senado Federal","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=16915"
"2505","2000","PL","PL 2505/2000","18216","Projeto de Lei","Defesa e Segurança Nacional","Determina que o material apreendido pela Polícia Federal, fruto de contrabando e que possa vir a ser usado no combate ao crime, deverá ser repassado às Secretarias de Segurança Pública Estaduais e à Polícia Federal.","Lincoln Portela","23/02/2000","Urgência art. 155 RICD","Proposição Sujeita à Apreciação do Plenário","Destinação, utilização, combate, crime, material, apreensão, polícia federal, contrabando.","MESA - Aguardando Apreciação pelo Senado Federal","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=21472"
"215","2003","PEC","PEC 215/2003","148200","Proposta de Emenda à Constituição","Administração Pública","Acrescenta o § 3º ao art. 42 da Constituição Federal que dispõe sobre os militares dos Estados, do Distrito Federal e dos Territórios.","Alberto Fraga","10/12/2003","Especial","Proposição Sujeita à Apreciação do Plenário","Autorização, militar, Estados, Distrito Federal, Territórios Federais,  acumulação de cargos, compatibilidade, horário de trabalho, cargo militar, cargo público, professor, técnico, cargo privativo, área, saúde, educação.","MESA - Aguardando Apreciação pelo Senado Federal","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=189069"
"4330","2004","PL","PL 4330/2004","267841","Projeto de Lei","Trabalho e Emprego","Dispõe sobre o contrato de prestação de serviço a terceiros e as relações de trabalho dele decorrentes.

NOVA EMENTA: Dispõe sobre os contratos de terceirização e as relações de trabalho deles decorrentes.","Sandro Mabel","26/10/2004","Urgência art. 155 RICD","Proposição Sujeita à Apreciação do Plenário","Normas, contrato, terceirização, prazo, prestação de serviço, sociedade empresária, empresa tomadora de serviço, inexistência, vínculo empregatício, empregado, sócio, requisitos, funcionamento, empresa de prestação de serviço, inscrição, (CNPJ), registro, junta comercial, limite mínimo, capital social, critérios, reajuste, valor, contratação, serviço, proibição, utilização, trabalhador, diferença, atividade, contrato de trabalho, empresa, garantia, condições de trabalho, segurança, saúde, exigência, treinamento de pessoal, capacitação profissional, assistência médica, alimentação, responsabilidade subsidiária, tomador de serviço, prestador de serviço, responsabilidade solidária, subcontratação, comprovação, cumprimento, obrigação trabalhista, encargo social,  ressalva, ação regressiva, devedor, pagamento, indenização, contrato administrativo, Administração Pública, recolhimento, contribuição previdenciária, contratado, contribuição sindical, inaplicabilidade, empregado doméstico, empresa de segurança e vigilância, penalidade, infrator.","MESA - Aguardando Apreciação pelo Senado Federal","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=246979"
"4474","2004","PL","PL 4474/2004","270277","Projeto de Lei","Organização Político-Administrativa do Estado (utilizado até a legislatura 53)","Acrescenta parágrafo ao art. 73 da Lei nº 9.504, de 30 de setembro de 1997, dispondo sobre a transferência voluntária de recursos em ano eleitoral.","Sandes Júnior","18/11/2004","Urgência art. 155 RICD","Proposição Sujeita à Apreciação do Plenário","Alteração, Lei das Eleições, limitação, valor, transferência voluntária, recursos financeiros, União Federal, Estados, Municípios, exceção, atendimento, situação, emergência, calamidade pública, combate, abuso de poder, poder econômico, campanha eleitoral.","MESA - Aguardando Apreciação pelo Senado Federal","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=251861"
"457","2005","PEC","PEC 457/2005","298878","Proposta de Emenda à Constituição","Administração Pública","Altera o art. 40 da Constituição Federal, relativo ao limite de idade para a aposentadoria compulsória do servidor público em geral, e acrescenta dispositivo ao Ato das Disposições Constitucionais Transitórias.","Senado Federal - Pedro Simon","31/08/2005","Especial","Proposição Sujeita à Apreciação do Plenário","Ato das Disposições Constitucionais Transitórias, Administração Pública, aposentadoria compulsória, servidor público civil, regulamentação, lei complementar, aumento, limite de idade, Disposições Constitucionais Transitórias, aposentadoria, magistrado, membros, Judiciário, Ministros, Supremo Tribunal Federal(STF), Tribunais Superiores, Tribunal de Contas da União (TCU).","Tranformada no(a) Emenda Constitucional 88/2015","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=337348"
"471","2005","PEC","PEC 471/2005","304008","Proposta de Emenda à Constituição","Administração Pública","Dá nova redação ao parágrafo 3º do art. 236 da Constituição Federal.","João Campos","20/10/2005","Especial","Proposição Sujeita à Apreciação do Plenário","Efetivação, inexigibilidade, dispensa, concurso público, vacância, serviço notarial, responsável, substituto, manutenção, atuação, serviço notarial, cartório, delegação de competência, Poder Público.","Diversas","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=349599"
"590","2006","PEC","PEC 590/2006","339287","Proposta de Emenda à Constituição","Organização Político-Administrativa do Estado (utilizado até a legislatura 53)","Dá nova redação ao parágrafo 1º do art. 58  da Constituição Federal.

NOVA EMENTA: Dá nova redação ao § 1º do art. 58 da Constituição Federal, para garantir a representação proporcional de cada sexo na composição das Mesas e Comissões do Congresso Nacional, da Câmara dos Deputados e do Senado Federal.","Luiza Erundina","21/12/2006","Especial","Proposição Sujeita à Apreciação do Plenário","Legislativo, composição, Mesa Diretora, Comissão, Câmara dos Deputados, Senado, Congresso Nacional, garantia, representação proporcional, sexo masculino, sexo feminino, mulher, ocupação, vaga.","MESA - Aguardando Apreciação pelo Senado Federal","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=432013"
"7699","2006","PL","PL 7699/2006","339407","Projeto de Lei","Direitos Humanos, Minorias e Cidadania","Institui o Estatuto do Portador de Deficiência e dá outras providências.

NOVA EMENTA: Institui a Lei Brasileira da Inclusão da Pessoa com Deficiência; altera as Leis nºs 4.737, de 15 de julho de 1965, 7.853, de 24 de outubro de 1989, 8.036, de 11 de maio de 1990, 8.078, de 11 de setembro de 1990, 8.213, de 24 de julho de 1991, 8.313, de 23 de dezembro de 1991, 8.429, de 2 de junho de 1992, 8.666, de 21 de junho de 1993, 8.742, de 7 de dezembro de 1993, 8.989, de 24 de fevereiro de 1995, 9.029, de 13 de abril de 1995, 9.250, de 26 de dezembro de 1995,  9.503, de 23 de setembro de 1997, 9.615, de 24 de março de 1998, 10.048, de 8 de novembro de 2000, 10.098, de 19 de dezembro de 2000, 10.257, de 10 de julho de 2001, 10.406, de 10 de janeiro de 2002, 11.126, de 27 de junho de 2005, 11.904, de 14 de janeiro de 2009, e 12.587, de 3 de janeiro de 2012, e a Consolidação das Leis do Trabalho - CLT, aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943; e revoga dispositivo da Lei nº 9.008, de 21 de março de 1995.","Senado Federal - Paulo Paim","21/12/2006","Urgência art. 155 RICD","Proposição Sujeita à Apreciação do Plenário","Normas, Estatuto do Portador de  Deficiência, inclusão social, cidadania, pessoa portadora de deficiência, tratamento médico, reabilitação, medicamentos, prótese, órtese, criação, órgãos, genética, informação, prevenção,  assistência psicológica, (SUS), sexualidade, paternidade, maternidade, previdência social, assistência social,  benefício de prestação continuada, beneficiário, salário mínimo, alimentação, habitação, educação básica, educação superior, educação profissional, educação  especial, estabelecimento de ensino, adaptação, recursos materiais, habilitação profissional, (LIBRAS), método Braille, ingresso, trabalho, formação profissional, mão-de-obra especializada, inserção, mercado de trabalho, obrigatoriedade, empresa, reserva, vaga, cota, concurso público, deficiente físico, deficiente mental, deficiente auditivo, deficiente visual, visão monocular, oferecimento, local, participação, evento, atividade cultural, jogos, atividade esportiva, turismo, lazer, Programa Nacional de Acessibilidade, (Corde), (Conade),  politicas públicas, acessibilidade, (ONG), setor público, atendimento, apoio, abrigo, proteção, alistamento eleitoral, direito de voto, atendimento preferencial, prioridade, tramitação, Justiça, Ministério Público, construção, edifício público, liberdade de locomoção, via pública, prioridade, embarque, passe livre, meios de transporte, estacionamento, adaptação, veículos, ônibus,  meios de comunicação, (Internet), telefone público, televisão, utilização, bens móveis, bens imóveis, serviços públicos, incentivo,  pesquisa científica e tecnológica, tecnologia da informação, cooperação, ato internacional,  criação, Fundo Nacional dos Direitos da Pessoa com Deficiência, dedução, doação, imposto de renda, proibição, discriminação, penalidade, infrator.","Tranformada no(a) Lei Ordinária 13146/2015","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=432201"
"25","2007","PLP","PLP 25/2007","344866","Projeto de Lei Complementar","Indústria, Comércio e Defesa do Consumidor (utilizado até a legislatura 53); Tributação","Dá nova redação ao caput do art. 79 da Lei Complementar nº 123, de 14 de dezembro de 2006.","Barbosa Neto","15/03/2007","Urgência art. 155 RICD","Proposição Sujeita à Apreciação do Plenário","Alteração, Estatuto da Micro e Pequena Empresa, prorrogação, prazo, parcelamento, débito tributário, empresa, adesão, tributação, (Simples Nacional).","Diversas","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=442758"
"789","2007","PL","PL 789/2007","348730","Projeto de Lei","Direito Penal e Processual Penal; Direitos Humanos, Minorias e Cidadania","Altera a Lei nº 8.069, de 13 de julho de 1990, a fim de tipificar como crime o emprego de criança e adolescente para a realização dos delitos que menciona.","Senado Federal - Aloízio Mercadante","19/04/2007","Urgência art. 155 RICD","Proposição Sujeita à Apreciação do Plenário","Alteração, Estatuto da Criança e do Adolescente, tipicidade, crime, utilização, auxílio, criança, adolescente, participação, menor, crime, homicídio, lesão corporal grave, furto, roubo, extorsão, seqüestro, estupro, atentado violento ao pudor, tráfico, drogas.","MESA - Arquivada","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=453097"
"1057","2007","PL","PL 1057/2007","351362","Projeto de Lei","Direitos Humanos, Minorias e Cidadania","Dispõe sobre o combate a práticas tradicionais nocivas e à proteção dos direitos fundamentais de crianças indígenas, bem como pertencentes a outras sociedades ditas não tradicionais.","Henrique Afonso","11/05/2007","Urgência art. 155 RICD","Proposição Sujeita à Apreciação do Plenário","Combate, homicídio, morte, maus-tratos, abuso sexual, recém-nascido, criança, pessoa portadora de deficiência, índio, tradição, cultura, comunidade indígena, obrigatoriedade, denúncia, notificação, órgãos, (Funasa), (Funai), Conselho Tutelar, autoridade judiciária, autoridade policial, pena de detenção, infrator, crime, omissão de socorro, exigência, retirada, menor, colocação, abrigo.","MESA - Aguardando Apreciação pelo Senado Federal","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=459157"
"2211","2007","PL","PL 2211/2007","372066","Projeto de Lei","Organização Político-Administrativa do Estado (utilizado até a legislatura 53)","Dispõe sobre a perda do mandato parlamentar em casos de desfiliação ou infidelidade partidária.","Rogerio Lisboa","16/10/2007","Urgência art. 155 RICD","Proposição Sujeita à Apreciação do Plenário","Alteração, Lei Orgânica dos Partidos Políticos, perda, mandato parlamentar, titular, ausência, quociente eleitoral, defiliação partidária, infidelidade partidária, diferença, votação, voto contrário, liderança, período, filiação, candidato, participação, eleição proporcional, eleição majoritária.  
_ Autorização, desfiliação, troca, filiação partidária, titular, Parlamentar, obtenção, quociente eleitoral, eleição proporcional.  
_ Alteração, Lei das Eleições, fixação, período, filiação partidária, eleição proporcional, eleição majoritária.","MESA - Arquivada","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=513555"
"182","2007","PEC","PEC 182/2007","373327","Proposta de Emenda à Constituição","Organização Político-Administrativa do Estado (utilizado até a legislatura 53)","Altera os arts. 17, 46 e 55 da Constituição Federal, para assegurar aos partidos políticos a titularidade dos mandatos parlamentares e estabelecer a perda dos mandatos dos membros do Poder Legislativo e do Poder Executivo que se desfiliarem dos partidos pelos quais forem eleitos.","Senado Federal - Marco Maciel","23/10/2007","Especial","Proposição Sujeita à Apreciação do Plenário","Legislativo, garantia, partido político, titularidade, mandato parlamentar, perda, mandato, membros, Executivo, Legislativo, desfiliação  partidária, infidelidade partidária, exceção, extinção, incorporação, fusão, perda de função pública, Presidente da República, Vice-Presidente da República, Governador, Vice-Governador,  Estados, Distrito Federal,  Juiz Eleitoral, Prefeito, Vice-Prefeito, Vereador, Deputado Federal, Senador, Deputado Estadual, Deputado Distrital, Mesa Diretora, comunicação, diretório nacional, diretório partidário, documento, comprovação, desligamento, representação partidária, obrigatoriedade, suplente, igualdade, sigla, membros, titular, Senado.","Tranformada no(a) Emenda Constitucional 91/2016","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=516056"
"3131","2008","PL","PL 3131/2008","388449","Projeto de Lei","Direito Penal e Processual Penal","Altera os arts. 61, 121, 129 e 147 do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal, e o art. 2º da Lei nº 8.072, de 25 de julho de 1990 - Lei dos Crimes Hediondos, para prever como qualificadora e circunstância que agrava a pena a hipótese de a vítima ou de o autor ser agente do Estado, no exercício de cargo ou função pública ou em decorrência da mesma.","Senado Federal - Alvaro Dias","27/03/2008","Urgência art. 155 RICD","Proposição Sujeita à Apreciação do Plenário","Alteração, Código Penal, Lei dos Crimes Hediondos, fixação, circunstância agravante, crime, homicídio, lesão corporal, ameaça, agravação penal, crime hediondo, tortura, tráfico, drogas, entorpecente, terrorismo, autor, vítima, agente público, servidor público, policial, exercício funcional, cargo público, função pública.","MESA - Arquivada","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=548411"
"4148","2008","PL","PL 4148/2008","412728","Projeto de Lei","Indústria, Comércio e Defesa do Consumidor (utilizado até a legislatura 53)","Altera e acresce dispositivos à Lei nº 11.105, de 24 de março de 2005.

NOVA EMENTA: Altera a Lei nº 11.105, de 24 de março de 2005.","Luis Carlos Heinze","16/10/2008","Urgência art. 155 RICD","Proposição Sujeita à Apreciação do Plenário","Alteração, Lei de Biossegurança, obrigatoriedade, colocação, informação, rótulo, embalagem, alimento, alimento in natura, existência, organismo geneticamente modificado, penalidade, infrator.","MESA - Aguardando Apreciação pelo Senado Federal","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=605180"
"443","2009","PEC","PEC 443/2009","463155","Proposta de Emenda à Constituição","Administração Pública","Fixa parâmetros para a remuneração dos advogados públicos.","Bonifácio de Andrada","08/12/2009","Especial","Proposição Sujeita à Apreciação do Plenário","Judiciário, fixação, remuneração, cargo de carreira, Advocacia-Geral da União, Procurador, Estado, Distrito Federal, percentual, Ministro, Supremo Tribunal Federal  (STF), critérios, legislação, escalonamento, limitação, diferença, salário.","PLEN - Pronta para Pauta","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=723563"
"106","2011","PLP","PLP 106/2011","526536","Projeto de Lei Complementar","Indústria, Comércio e Abastecimento","Acrescenta novos dispositivos à Lei Complementar nº 123, de 14 de dezembro de 2006, que ""Institui o Estatuto Nacional da Microempresa e da Empresa de Pequeno Porte"", com o objetivo de autorizar a constituição de sociedade de garantia solidária, e dá outras providências. 

NOVA EMENTA: Acrescenta dispositivos à Lei Complementar n° 123, de 14 de dezembro de 2006, que institui o Estatuto Nacional da Microempresa e da Empresa de Pequeno Porte, com o objetivo de autorizar a constituição de sociedade de garantia solidária, e dá outras providências.","Esperidião Amin","08/11/2011","Urgência art. 155 RICD","Proposição Sujeita à Apreciação do Plenário","Alteração, Estatuto da Micro e Pequena Empresa, autorização, criação, sociedade, garantia, responsabilidade solidária, sócio, participante, microempresa, pequena empresa, associações, cooperativa, profissional liberal.","MESA - Aguardando Apreciação pelo Senado Federal","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=936770"
"3481","2012","PL","PL 3481/2012","537900","Projeto de Lei","Direito Penal e Processual Penal","Dispõe sobre uso de explosivos na destruição ou rompimento de obstáculo para o crime de Furto e dá outras providências.

NOVA EMENTA: Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal, dispondo sobre uso de explosivos na destruição ou rompimento de obstáculo para o crime de furto e dá outras providências.","Alexandre Leite","20/03/2012","Urgência art. 155 RICD","Proposição Sujeita à Apreciação do Plenário","Alteração, Código Penal, furto qualificado, aumento da pena, utilização, explosivo.","MESA - Aguardando Apreciação pelo Senado Federal","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=972620"
"3771","2012","PL","PL 3771/2012","542838","Projeto de Lei","Política Econômica","Dispõe sobre a política de valorização de longo prazo do salário mínimo.","Jorge Boeira","25/04/2012","Urgência art. 155 RICD","Proposição Sujeita à Apreciação do Plenário","Política, valorização, preservação, poder aquisitivo, salário mínimo.","PLEN - Pronta para Pauta","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=986323"
"172","2012","PEC","PEC 172/2012","544681","Proposta de Emenda à Constituição","Administração Pública","Altera o art. 160 da Constituição Federal.","Mendonça Filho","16/05/2012","Especial","Proposição Sujeita à Apreciação do Plenário","Repartição da receita tributária, proibição, transferência, imposição, encargo, prestação de serviço, Estados, Distrito Federal, Municípios, previsão, recursos financeiros.","MESA - Aguardando Apreciação pelo Senado Federal","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=992122"
"177","2012","PLP","PLP 177/2012","544724","Projeto de Lei Complementar","Administração Pública; Finanças Públicas e Orçamento","Estabelece normas de finanças públicas voltadas para a transparência, controle e fiscalização da execução de parcerias e convênios entre órgãos públicos e organizações não governamentais.

NOVA EMENTA: Estabelece normas de finanças públicas voltadas para a transparência, controle e fiscalização da execução de contratos de repasse, termos de parceria, convênios e instrumentos congêneres, celebrados entre órgãos e entidades  públicas e  as
pessoas jurídicas de direito privado sem fins lucrativos; altera a Lei Complementar nº 101, de 4 de maio de 2000, a Lei nº 8.429, de 2 de junho de 1992, o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal, a Lei Complementar nº 64, de 18 de maio de 1990; e revoga dispositivo da Lei nº 8.666, de 21 de junho de 1993.","Esperidião Amin","16/05/2012","Urgência art. 155 RICD","Proposição Sujeita à Apreciação do Plenário","Alteração, Lei de Responsabilidade Fiscal, Lei de Improbidade Administrativa, Lei de Inelegibilidade, normas, parceria, convênio, Poder Público, organização não governamental (ONG), impedimento, ocupação, cargo, requisitos, governança, responsabilidade, agente público, gestor, acompanhamento, divulgação, Internet, controle, fiscalização, exigência, emissão, parecer técnico, prestação de contas, penalidade, improbidade administrativa, inelegibilidade, dirigente, organização, condenado, ato ilícito, prejuízo, administração pública.","MESA - Aguardando Apreciação pelo Senado Federal","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=992186"
